Country,2014,2015,2016,2017,2018
Jamaica,457000000,413000000,413000000,455000000,503000000
El Salvador,277000000,332000000,451000000,466000000,490000000
Zambia,378000000,400000000,423000000,410000000,478000000
Kyrgyz Republic,568000000,535000000,582000000,422000000,453000000
Moldova,442000000,370000000,334000000,380000000,438000000
Maldives,271000000,309000000,347000000,376000000,433000000
Guinea,28800000,250400000,16300000,102500000,416000000
Rwanda,133000000,350000000,364000000,396000000,377000000
Bosnia and Herzegovina,205000000,278000000,290000000,346000000,366000000
Nicaragua,286000000,273000000,310000000,365000000,349000000
Lesotho,177000000,180000000,252000000,323000000,339000000
Uganda,342000000,278000000,309000000,353000000,334000000
Madagascar,317000000,240000000,300000000,319000000,309000000
North Macedonia,186000000,189000000,204000000,233000000,282000000
Botswana,277000000,256400000,237100000,253300000,269200000
Afghanistan,140000000,151000000,89000000,130000000,226000000
Fiji,99000000,115000000,119000000,138000000,160000000
Trinidad and Tobago,168000000,253000000,230000000,147000000,149000000
Malawi,106000000,121000000,100000000,120000000,136000000
Mozambique,331000000,322000000,290000000,237000000,135000000
Timor-Leste,84000000,100000000,118000000,137000000,131000000
Myanmar,119000000,146000000,201000000,136000000,118000000
"Congo, Dem. Rep.",283000000,127000000,60000000,68000000,115000000
Antigua and Barbuda,89000000,95000000,101000000,106000000,113000000
Suriname,90000000,128000000,112000000,99000000,104000000
Seychelles,65000000,54000000,92000000,104000000,102000000
Cabo Verde,115000000,109000000,79000000,93000000,97000000
St. Lucia,66000000,76000000,78000000,84000000,87000000
Guyana,77000000,93000000,103000000,94000000,80000000
Bhutan,42600000,44000000,52000000,63000000,79000000
Guinea-Bissau,53000000,53000000,33000000,63000000,74600000
Montenegro,79000000,68000000,91000000,91000000,73000000
Namibia,67000000,71000000,82000000,73000000,69000000
Sierra Leone,45000000,34000000,36000000,56000000,61000000
St. Kitts and Nevis,51000000,52000000,51000000,56000000,59000000
Solomon Islands,65600000,60700000,74900000,72700000,53200000
Belize,51000000,50000000,55000000,53000000,50000000
St. Vincent and the Grenadines,34000000,40000000,41000000,46000000,48000000
Comoros,40000000,34000000,38000000,42000000,45000000
Eswatini,62000000,64000000,33000000,74000000,43000000
Tonga,30100000,32400000,23800000,37700000,41200000
Grenada,34000000,40000000,40000000,38000000,41000000
Mauritania,112000000,73000000,74000000,61000000,38000000
Marshall Islands,23800000,26200000,27000000,27600000,31400000
Dominica,39000000,34000000,33000000,30000000,30000000
Tajikistan,,,24600000,15100000,24200000
Burundi,38000000,29000000,28000000,24000000,23000000
Djibouti,34200000,35100000,35100000,39700000,22300000
Vanuatu,41000000,34000000,28000000,19000000,21000000
Sao Tome and Principe,18000000,22100000,20600000,17200000,17600000
Sudan,439000000,195000000,203000000,29000000,13000000
"Gambia, The",55400000,57400000,76200000,45500000,10400000
Liberia,2200000,2500000,3510000,5970000,7700000
Nauru,10700000,6400000,10000000,9000000,7100000
Samoa,4100000,2900000,2100000,3900000,4200000
Papua New Guinea,168000000,135000000,126000000,165000000,
Barbados,,,,,
"Iran, Islamic Rep.",10130000000,9658000000,9893000000,11928000000,
"Yemen, Rep.",158000000,79000000,56000000,,
"Venezuela, RB",4118000000,3249000000,2920000000,,
Algeria,679000000,762000000,556000000,632000000,
Libya,1325000000,1066000000,813000000,,
Syrian Arab Republic,,,,,
Chad,,,,,
"Congo, Rep.",435000000,557000000,457000000,,
Equatorial Guinea,,,,,
Kenya,206000000,217000000,145000000,262000000,
Benin,54200000,141000000,87000000,148000000,
Niger,129000000,140000000,110000000,120000000,
Senegal,279000000,261000000,276000000,295000000,
Central African Republic,,,,,
Cote d'Ivoire,625000000,560000000,491000000,563000000,
Gabon,404000000,509000000,346000000,,
Togo,60000000,53000000,55000000,57000000,
Mali,231000000,207000000,213000000,220000000,
Zimbabwe,451000000,557000000,406000000,338000000,
"Micronesia, Fed. Sts.",29000000,,,,
Palau,17200000,21900000,23800000,23300000,
Burkina Faso,176000000,160000000,176000000,181000000,
Kiribati,13200000,12400000,15200000,13900000,
Tuvalu,,,,,
