Country,2014,2015,2016,2017,2018
Jamaica,198000000,235000000,256000000,271000000,286000000
Zambia,222000000,234000000,247000000,223000000,279000000
Botswana,276000000,256000000,237000000,253000000,269000000
Bosnia and Herzegovina,127000000,206000000,225000000,249000000,261000000
North Macedonia,149000000,159000000,180000000,207000000,259000000
Nicaragua,168000000,156000000,181000000,235000000,219000000
Afghanistan,137000000,147000000,79000000,118000000,203000000
Uganda,189000000,186000000,208000000,214000000,187000000
Madagascar,156000000,141000000,141000000,164000000,183000000
Fiji,89000000,104000000,109000000,128000000,149000000
Mozambique,253000000,223000000,245000000,191000000,132000000
"Congo, Dem. Rep.",283000000,127000000,60000000,68000000,115000000
Timor-Leste,66000000,83000000,102000000,121000000,115000000
Haiti,71000000,71000000,62000000,62000000,103000000
Trinidad and Tobago,124000000,207000000,187000000,97000000,98000000
Malawi,74000000,86000000,72000000,86000000,97000000
Suriname,87000000,116000000,111000000,93000000,94000000
Myanmar,37000000,25000000,37000000,105000000,89000000
Antigua and Barbuda,66000000,70000000,77000000,82000000,88000000
Cabo Verde,110000000,101000000,71000000,78000000,85000000
Guyana,77000000,93000000,103000000,94000000,80000000
Bhutan,42000000,40000000,51000000,61000000,78000000
Guinea-Bissau,53000000,53000000,33000000,63000000,74500000
Seychelles,37000000,30000000,53000000,62000000,69000000
Montenegro,47000000,44000000,66000000,67000000,68000000
St. Lucia,45000000,46000000,51000000,54000000,56000000
Namibia,50000000,63000000,72000000,71000000,56000000
Sierra Leone,40000000,29000000,30000000,48000000,54000000
Solomon Islands,64400000,60400000,74700000,72600000,53100000
Belize,49000000,47000000,53000000,51000000,48000000
St. Kitts and Nevis,39000000,37000000,37000000,42000000,44000000
Eswatini,54000000,50000000,30000000,65000000,41000000
Tonga,20700000,23200000,20500000,34300000,36000000
St. Vincent and the Grenadines,21000000,23000000,23000000,25000000,26000000
Comoros,24000000,19000000,21000000,24000000,25000000
Grenada,18000000,20000000,21000000,22000000,24000000
Burundi,38000000,29000000,28000000,24000000,23000000
Djibouti,21500000,23400000,23500000,27800000,22300000
Dominica,26000000,22000000,23000000,20000000,20000000
Marshall Islands,12300000,14700000,15500000,16100000,19900000
Sao Tome and Principe,16700000,16600000,15400000,17200000,17600000
Vanuatu,37000000,30000000,25000000,16000000,17000000
Mauritania,62000000,43000000,41000000,29000000,13000000
Guinea,18200000,400000,11900000,11500000,13000000
Sudan,439000000,195000000,203000000,29000000,13000000
Tajikistan,,,3600000,4100000,10200000
"Gambia, The",54000000,56000000,75000000,44000000,9000000
South Sudan,38000000,27000000,10000000,7000000,8000000
Liberia,2200000,2500000,3510000,5970000,7700000
Nauru,10700000,6400000,10000000,9000000,7100000
Samoa,1500000,1700000,1400000,3200000,1700000
Papua New Guinea,125000000,125000000,119000000,151000000,
Barbados,,,,,
"Venezuela, RB",2428000000,2101000000,1812000000,,
Algeria,608000000,685000000,474000000,580000000,
Libya,1143000000,967000000,714000000,,
Syrian Arab Republic,,,,,
"Iran, Islamic Rep.",9452000000,8992000000,9437000000,11300000000,
"Yemen, Rep.",77000000,72000000,49000000,,
