Country,2014,2015,2016,2017,2018
Botswana,3.08,3.17,3.43,3.99,3.68
Latvia,3.60,3.70,4.24,3.87,3.68
Chile,3.26,3.51,3.98,4.08,3.63
Poland,3.79,3.85,3.79,3.61,3.47
Czech Republic,3.27,3.44,3.54,3.53,3.44
Bosnia and Herzegovina,1.95,3.19,3.24,3.34,3.18
Ethiopia,1.55,1.87,2.31,1.88,3.07
North Macedonia,2.52,2.89,2.89,2.98,3.06
Japan,2.89,2.88,3.37,3.08,3.04
Angola,.94,1.02,3.21,4.30,2.94
Luxembourg,3.08,2.92,3.02,2.95,2.93
Malta,2.58,2.38,2.58,2.85,2.85
Afghanistan,1.70,1.78,1.21,1.63,2.83
Lithuania,3.10,3.29,3.23,2.99,2.82
Slovak Republic,2.92,2.88,2.98,2.93,2.81
Belarus,2.98,3.05,2.97,2.96,2.80
Mexico,2.89,2.96,3.05,2.98,2.80
Guyana,3.47,5.24,5.33,4.24,2.63
Hungary,2.38,2.47,2.74,2.69,2.58
Burundi,4.11,3.48,3.77,2.71,2.54
Vietnam,1.74,2.11,2.47,2.28,2.41
Ireland,2.58,2.18,2.19,2.00,2.17
Turkey,2.12,2.55,2.35,2.08,2.08
Eswatini,3.13,3.79,2.00,3.80,2.08
Montenegro,2.87,2.76,3.29,2.89,1.99
Bangladesh,1.73,1.81,1.75,1.99,1.84
"Gambia, The",12.37,12.68,17.25,8.30,1.67
Trinidad and Tobago,1.57,2.42,2.34,1.54,1.64
Mozambique,2.85,3.04,3.68,2.89,1.28
Mauritania,3.15,2.82,2.95,2.15,1.16
Namibia,.88,1.01,1.28,1.18,1.07
Samoa,.99,.78,.52,.95,.98
Tajikistan,,,.84,.55,.75
"Congo, Dem. Rep.",1.79,.99,.42,.52,.65
Myanmar,.84,.90,1.31,.74,.63
Liberia,.09,.14,.25,.48,.62
Sudan,4.31,1.92,2.28,.30,.16
Papua New Guinea,2.67,3.60,4.00,3.66,
Barbados,,,,,
"Venezuela, RB",6.41,6.90,11.31,,
"Iran, Islamic Rep.",,,,,
Libya,3.50,5.06,7.04,,
Syrian Arab Republic,,,,,
Djibouti,3.99,3.19,3.88,4.04,
Benin,1.30,4.94,2.80,4.06,
"Congo, Rep.",4.76,5.86,6.27,,
Gabon,6.48,10.08,,,
Kenya,1.02,1.23,.90,1.37,
Mali,4.23,3.99,3.77,3.93,
Niger,3.99,4.75,4.36,4.09,
Senegal,3.86,4.15,4.47,3.94,
Togo,2.27,2.19,2.29,2.73,
Palau,7.76,10.45,11.20,11.27,
Tuvalu,,,,,
Algeria,.95,1.20,.92,1.05,
"Yemen, Rep.",1.04,1.03,.68,,
Burkina Faso,4.07,4.24,4.33,3.92,
Cote d'Ivoire,5.14,4.94,4.58,4.76,
Kiribati,7.17,6.78,7.76,7.12,
"Micronesia, Fed. Sts.",12.54,,,,
Zimbabwe,5.51,7.42,6.32,5.15,
